"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"circFOXO3","non small cell lung cancer","qPCR, western blot, RIP, other","down-regulated","","","","29620202","details","","","","",""
"circGFRA1","non small cell lung cancer","qPCR, RIP","up-regulated","","","","32021297","details","","","","",""
"circHIPK3","non small cell lung cancer","qPCR, CCK-8 and cell invasion assays","up-regulated","","","","31597523","details","","","","",""
"circHIPK3","lung cancer","qRT-PCR , RIP , western blot , cell proliferation, invasion and migration assays","up-regulated","","","","31232177","details","","","","",""
"circIGF1R","non small cell lung cancer","qPCR","down-regulated","","","","32107851","details","","","","",""
"circITCH","Lung Cancer","PCR, Transient Transfections and Luciferase Assays, Actinomycin D Assay, Western blotting, Cell Viability Assay","down-regulated","","","","27642589","details","","","","",""
"circMAN2B2","Lung Cancer","qPCR, luciferase reporter assay, other","up-regulated","","","","29550475","details","","","","",""
"circMras","lung adenocarcinoma","qRT-PCR , western blot , luciferase reporter assay , RIP , FISH , RNase R treatment , cell viability assay , transwell assay , colony formation assay","down-regulated","","","","31012177","details","","","","",""
"circMTO1","lung adenocarcinoma","qPCR, luciferase reporter assay, western blot","down-regulated","","","","30975029","details","","","","",""
"circP4HB","non small cell lung cancer","qRT-PCR , luciferase reporter assay , Northern blot , RIP , sanger sequencing , wound healing assay , transwell assay , pull-down assay","up-regulated","","","","31005252","details","","","","",""
"circPAX2","Lung Cancer","qPCR, luciferase reporter assay, Microarray, other","up-regulated","","","","31949766","details","","","","",""
"circPIP5K1A","non small cell lung cancer","qRT-PCR , western blot , luciferase reporter assay , FISH , wound healing assay , cell proliferation assay , assays of transwell migration and invasion , mice xenografts","up-regulated","","","","31241217","details","","","","",""
"circPRKCI","lung adenocarcinoma","qPCR, western blot, luciferase reporter assay, RNAi, RIP, other","up-regulated","","","","29588350","details","","","","",""
"circPRMT5","non small cell lung cancer","qPCR","up-regulated","","","","31479715","details","","","","",""
"circPTPRA","non small cell lung cancer","qRT-PCR , western blot , northern blot , RIP , Luciferase reporter assays , circRNA Microarray , scratch and transwell assays , RNA-FISH , ICC , IHC","down-regulated","","","","31160270","details","","","","",""
"circPUM1","lung cancer","qPCR, Cell proliferation assays, Apoptosis analyses, EdU incorporation assays, Cell migration and invasion assays, Luciferase reporter assays, Western blot, Nude mice xenograft assays","up-regulated","","","","30528736","details","","","","",""
"circPVT1","lung adenocarcinoma","qPCR, RNA pull-down assay","up-regulated","","","","31986409","details","","","","",""
"circPVT1","non small cell lung cancer","qPCR","up-regulated","","","","30590312","details","","","","",""
"circPVT1","non small cell lung cancer","qPCR, luciferase reporter assay, western blot, RIP","up-regulated","","","","30537738","details","","","","",""
"circRNF13","Lung Adenocarcinoma","qPCR, RIP, RNAi, other","down-regulated","","","","29704631","details","","","","",""
"circSMARCA5","non small cell lung cancer","qPCR, CCK-8","down-regulated","","","","31564891","details","","","","",""
"circSOX4","non small cell lung cancer","qPCR","differential expressed","","","","32112500","details","","","","",""
"circSOX4","lung adenocarcinoma","qPCR. CCK-8, colony formation, transwell and wound healing assays","up-regulated","","","","31911754","details","","","","",""
"circTIMELESS","lung squamous cell carcinoma","qPCR","up-regulated","","","","31960961","details","","","","",""
"circTP63","lung squamous cell carcinoma","qRT-PCR , Western blotting , Luciferase activity assays , RIP , RNase R treatment , Actinomycin D assay , CCK-8 assay and cell cycle analysis","up-regulated","","","","31324812","details","","","","",""
"circTSPAN4","lung adenocarcinoma","qPCR, luciferase reporter and RNA pull-down assays","up-regulated","","","","31573758","details","","","","",""
"circVANGL1","non small cell lung cancer","qRT-PCR , western blot , Dual luciferase reporter assay , MTT assay , cell apoptosis analysis , transwell assay","up-regulated","","","","31076544","details","","","","",""
"circZFR","non small cell lung cancer","qPCR, CCK-8","up-regulated","","","","31407591","details","","","","",""
"circZKSCAN1","non small cell lung cancer","qPCR, RNA pull-down and luciferase reporter assay","up-regulated","","","","32010565","details","","","","",""
"CPS1-IT1","lung cancer","qPCR, Cell transfection etc.","down-regulated","","","","27662619","details","","","","",""
"CRNDE","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30982057","details","","","","",""
"CRNDE","lung adenocarcinoma","qPCR, Western blot, RIP","up-regulated","","","","28550688","details","","","","",""
"CRNDE","non small cell lung cancer","qPCR etc.","up-regulated","","","","28477368","details","","","","",""
"CTA-363E6.2","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25089627","details","","","","",""
"CUDR","lung cancer","qPCR etc.","up-regulated","","","","29731641","details","","","","",""
"CYTOR","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30487160","details","","","","",""
"DANCR","non small cell lung cancer","qPCR , in vitro knockdown etc","up-regulated","","","","32196604","details","","","","",""
"DANCR","non small cell lung cancer","qPCR","up-regulated","","","","30906628","details","","","","",""
"DANCR","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, RIP, etc.","up-regulated","","","","30613152","details","","","","",""
"DANCR","lung adenocarcinoma","qPCR, Western blot, etc.","up-regulated","","","","30535487","details","","","","",""
"DANCR","lung cancer","qPCR","up-regulated","","","","29651883","details","","","","",""
"DANCR","non small cell lung cancer","qPCR, Luciferase reporter assay, in vitro knockdown etc.","up-regulated","","","","29635134","details","","","","",""
"DANCR","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RNAi, RIP etc.","up-regulated","","","","29266795","details","","","","",""
"DB327252","lung cancer","qPCR, RNAi etc.","up-regulated","","","","27867555","details","","","","",""
"DDX11-AS1","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","32298476","details","","","","",""
"DGCR5","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","29790668","details","","","","",""
"DGCR5","non small cell lung cancer","qPCR, Luciferase reporter assay, RIP etc","up-regulated","","","","31799664","details","","","","",""
"DGCR5","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","down-regulated","","","","31241800","details","","","","",""
"DGCR5","lung adenocarcinoma","qPCR, Western blot etc.","up-regulated","","","","29030962","details","","","","",""
"DGCR5","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29663359","details","","","","",""
"DGCR5","lung cancer","qPCR, Western blot, Luciferase report assay etc.","down-regulated","","","","28744397","details","","","","",""
"DGCR5","lung cancer","qPCR, western blot etc.","up-regulated","","","","29790668","details","","","","",""
"DLEU1","non small cell lung cancer","qPCR, Western blot, RIP, etc.","up-regulated","","","","30551552","details","","","","",""
"DLEU2","non small cell lung cancer","Western blot, RIP","up-regulated","","","","31721438","details","","","","",""
"DLEU2","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","31541993","details","","","","",""
"DLX6-AS","non small cell lung cancer","qRT-PCR , in vitro knockdown , Luciferase reporter assay , Western blot","up-regulated","","","","31190891","details","","","","",""
"DLX6-AS1","non small cell lung cancer","qRT-PCR , Western blot , in vitro knockdown etc.","up-regulated","","","","31612030","details","","","","",""
"DLX6-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, etc.","up-regulated","","","","30551440","details","","","","",""
"DLX6-AS1","lung adenocarcinoma","Microarray, qPCR, Western blot etc.","up-regulated","","","","26052251","details","","","","",""
"DSCAM-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","32280246","details","","","","",""
"DSCAM-AS1","lung cancer","RNA-seq, qPCR","up-regulated","","","","30981459","details","","","","",""
"DSCAM-AS1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30779076","details","","","","",""
"DUXAP10","non small cell lung cancer","qPCR, RNAi, RIP, western blot","up-regulated","","","","28029651","details","","","","",""
"DUXAP8","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","32271433","details","","","","",""
"DUXAP8","non small cell lung cancer","qPCR, RNAi, western blot","up-regulated","","","","28131418","details","","","","",""
"DUXAP9-206","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, RIP, etc.","up-regulated","","","","30515972","details","","","","",""
"EGFEM1P","lung adenocarcinoma","Microarray, qPCR","down-regulated","","","","30151992","details","","","","",""
"EGFR-AS1","lung cancer","RNA-seq","up-regulated","","","","31548386","details","","","","",""
"EGFR-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30431074","details","","","","",""
"EGFR-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30664200","details","","","","",""
"EINCR1","lung adenocarcinoma","qPCR etc.","up-regulated","","","","28732076","details","","","","",""
"ENSG00000240990","lung adenocarcinoma","DNA methylation etc.","differential expression","","","","29069717","details","","","","",""
"ENST00000381279","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","down-regulated","","","","25482516","details","","","","",""
"ENST00000418077","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","down-regulated","","","","25482516","details","","","","",""
"ENST00000434223","non small cell lung cancer","qPCR, Western blot, Flow cytometry assay etc.","down-regulated","","","","26883250","details","","","","",""
"ENST00000434223","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"ENST00000434951","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","27108960","details","","","","",""
"ENST00000438684","lung cancer","Microarray, qPCR etc.","up-regulated","","","","26812883","details","","","","",""
"ENST00000439577","non small cell lung cancer","Microarray, qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","27849024","details","","","","",""
"ENST00000441841","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","28076325","details","","","","",""
"ENST00000442037","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"ENST00000453324","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","28076325","details","","","","",""
"ENST00000464359","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","27108960","details","","","","",""
"ENST00000466677","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","25250788","details","","","","",""
"ENST00000507437","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","up-regulated","","","","25482516","details","","","","",""
"ENST00000508827","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","up-regulated","","","","25482516","details","","","","",""
"ENST00000539303","lung cancer","Microarray, qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay etc.","up-regulated","","","","27999202","details","","","","",""
"ENST00000540136","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","25758555","details","","","","",""
"ENST00000562112","lung squamous cell carcinoma","Microarray, qPCR etc.","up-regulated","","","","25250788","details","","","","",""
"ENST00000579363","lung squamous cell carcinoma","Microarray, qPCR etc.","down-regulated","","","","25250788","details","","","","",""
"ENST00000584612","lung squamous cell carcinoma","Microarray, qPCR etc.","down-regulated","","","","25250788","details","","","","",""
"ENST00000602301","lung adenocarcinoma","Microarray, qPCR etc.","down-regulated","","","","27108960","details","","","","",""
"ENST457720","non small cell lung cancer","Microarray, qRT-PCR, Western blot, in vitro knockdown","up-regulated","","","","29495976","details","","","","",""
"EPB41L4A-AS2","non small cell lung cancer","qPCR, Western blot, other","down-regulated","","","","30249102","details","","","","",""
"EPIC1","lung cancer","qPCR, Western blot, RIP","up-regulated","","","","30029875","details","","","","",""
"ERICH1-AS1","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","26393913","details","","","","",""
"F630028O10Rik","lung cancer","qRT-PCR, Western blot","up-regulated","","","","32052546","details","","","","",""
"FAL1","non small cell lung cancer","qPCR, RNA pull-down assay etc.","up-regulated","","","","25203321","details","","","","",""
"FAL1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","28854421","details","","","","",""
"FAM201A","lung squamous cell carcinoma","qPCR, Western blotting Assay","up-regulated","","","","31841188","details","","","","",""
"FAM201A","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, RNAi","up-regulated","","","","31298332","details","","","","",""
"FAM66E","lung adenocarcinoma","Microarray, qPCR","down-regulated","","","","30151992","details","","","","",""
"FAM83A-AS1","non small cell lung cancer","qPCR, Western blot, etc.","up-regulated","","","","30659636","details","","","","",""
"FAM83H-AS1","lung adenocarcinoma","qPCR, RNAi, Western blot, Flow cytometry assay, Cell proliferation assay, Cell migration and invasion assay etc.","up-regulated","","","","28198463","details","","","","",""
"FAS-AS1","non small cell lung cancer","qPCR, Luciferase Reporter Assay etc","down-regulated","","","","32329854","details","","","","",""
"FBXL19-AS1","lung adenocarcinoma","qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31566718","details","","","","",""
"FBXL19-AS1","lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","up-regulated","","","","30610161","details","","","","",""
"FBXL19-AS1","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","31210311","details","","","","",""
"FENDRR","non small cell lung cancer","qRT-PCR, Western blot","down-regulated","","","","31749883","details","","","","",""
"FENDRR","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","30981768","details","","","","",""
"FENDRR","non small cell lung cancer","qPCR, Luciferase reporter assay","down-regulated","","","","31545237","details","","","","",""
"FENDRR","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","down-regulated","","","","30556873","details","","","","",""
"FENDRR","lung adenocarcinoma","qPCR etc.","down-regulated","","","","26918601","details","","","","",""
"FER1L4","lung cancer","qRT-PCR , Western blot etc.","down-regulated","","","","31115514","details","","","","",""
"FER1L4","lung adenocarcinoma","RNA-seq, qPCR etc.","up-regulated","","","","27826625","details","","","","",""
"FEZF-AS1","non small cell lung cancer","qPCR etc.","up-regulated","","","","29709443","details","","","","",""
"FEZF1-AS1","non small cell lung cancer","qPCR, Western blotting, RIP etc.","up-regulated","","","","28858731","details","","","","",""
"FEZF1-AS1","lung adenocarcinoma","qPCR, Western bolt, RIP, ChIP etc.","up-regulated","","","","29262540","details","","","","",""
"FEZF1-AS1","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.","up-regulated","","","","29510777","details","","","","",""
"FGD5-AS1","non small cell lung cancer","qRT-PCR, Western blot, luciferase reporter assay, RIP","up-regulated","","","","31919528","details","","","","",""
"FLVCR1-AS1","lung cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30309647","details","","","","",""
"FLVCR1-AS1","lung cancer","qPCR, Western blot, etc.","up-regulated","","","","30697812","details","","","","",""
"FOXC2-AC1","lung cancer","qPCR, Western blot","up-regulated","","","","30720176","details","","","","",""
"FOXC2-AS1","non small cell lung cancer","qPCR, Western blot, RIP","up-regulated","","","","31396359","details","","","","",""
"FOXD2-AS1","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot, RIP","up-regulated","","","","31534348","details","","","","",""
"FOXD2-AS1","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.","up-regulated","","","","28132805","details","","","","",""
"FOXD3-AS1","non small cell lung cancer","qPCR, Western blot, luciferase reporter assay etc","up-regulated","","","","32196603","details","","","","",""
"FOXE1","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"FOXF1-AS1","non small cell lung cancer","qPCR, Western blot, Flow cytometry assay etc.","down-regulated","","","","27577075","details","","","","",""
"FR165245","lung adenocarcinoma","Microarray, qPCR etc.","up-regulated","","","","27108960","details","","","","",""
"FTH1P3","non small cell lung cancer","Western blotting, qRT-PCR","up-regulated","","","","31933766","details","","","","",""
"FTX","non small cell lung cancer","qRT-PCR, Western blot","down-regulated","","","","32176463","details","","","","",""
"FTX","lung adenocarcinoma","qPCR, RIP etc.","up-regulated","","","","32226311","details","","","","",""
"GACAT3","non small cell lung cancer","qPCR, Western blot, Luciferase reporting assay etc.","up-regulated","","","","29565489","details","","","","",""
"GAPLINC","non small cell lung cancer","qPCR, Western blot, other","up-regulated","","","","31447565","details","","","","",""
"GAPLINC","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, etc.","up-regulated","","","","30522114","details","","","","",""
"GAS5","lung cancer","qPCR, Luciferase reporter assay, RNAi, Western blot, Microarray, RIP","up-regulated","","","","30926767","details","","","","",""
"GAS5","lung cancer","qRT-PCR , Luciferase reporter assay , Western blot etc.","down-regulated","","","","31186629","details","","","","",""
"GAS5","non small cell lung cancer","qRT-PCR etc.","down-regulated","","","","31077615","details","","","","",""
"GAS5","non small cell lung cancer","qRT-PCR, Western blotting etc.","down-regulated","","","","31032916","details","","","","",""
"GAS5","lung cancer","qPCR etc.","differential expression","","","","29207621","details","","","","",""
"GAS5","lung adenocarcinoma","qPCR, RNAi etc.","differential expression","","","","26336799","details","","","","",""
"GAS5","lung adenocarcinoma","Microarray, qPCR","up-regulated","","","","25061321","details","","","","",""
"GAS5","lung cancer","qPCR, Western blot, Luciferase activity","up-regulated","","","","28686971","details","","","","",""
"GAS5","non small cell lung cancer","qPCR etc.","down-regulated","","","","28339045","details","","","","",""
"GAS5","non small cell lung cancer","qPCR etc.","down-regulated","","","","27631209","details","","","","",""
"GAS5","lung adenocarcinoma","qPCR, Western blot etc.","down-regulated","","","","25925741","details","","","","",""
"GAS5","non small cell lung cancer","qPCR, RNAi, Luciferase reporter assay, MTT assay etc.","down-regulated","","","","28117028","details","","","","",""
"GAS5","non small cell lung cancer","qPCR, Dual luciferase reporter assay, MTT assay etc.","down-regulated","","","","28059053","details","","","","",""
"GAS5","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","down-regulated","","","","27338051","details","","","","",""
"GAS5","non small cell lung cancer","qPCR, RNAi, Western blot etc.","down-regulated","","","","24357161","details","","","","",""
"GAS5-AS1","non small cell lung cancer","qPCR, RNAi, Western blot, Cell proliferation assay etc.","down-regulated","","","","27489122","details","","","","",""
"GAS6-AS1","non small cell lung cancer","qPCR etc.","down-regulated","","","","23979857","details","","","","",""
"GASL1","non small cell lung cancer","qPCR, Western-Blot, other","down-regulated","","","","30468472","details","","","","",""
"GATA2-AS1","non small cell lung cancer","qRT-PCR , Western blot , RNAi , RIP etc.","down-regulated","","","","31607132","details","","","","",""
"GHET1","non small cell lung cancer","qPCR etc.","up-regulated","","","","29762836","details","","","","",""
"GHSROS","non small cell lung cancer","qPCR, Northern blot etc.","up-regulated","","","","23722988","details","","","","",""
"GIAT4RA","non small cell lung cancer","qPCR, Western blot, RIP, RNAi, other","down-regulated","","","","31417184","details","","","","",""
"Gm15290","non small cell lung cancer","qPCR, Western blot, RNAi, other","up-regulated","","","","30287504","details","","","","",""
"Gm15290","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","28474572","details","","","","",""
"GMDS-AS1","lung adenocarcinoma","RT-qPCR, Western blot, Luciferase assay","down-regulated","","","","31860169","details","","","","",""
"GNAS-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31267263","details","","","","",""
"GNAS-AS1","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","25394782","details","","","","",""
"GUCY1B2","non small cell lung cancer","Microarray, qPCR etc.","up-regulated","","","","25394782","details","","","","",""
"GVINP1","lung adenocarcinoma","qPCR","down-regulated","","","","30125988","details","","","","",""
"H19","lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown","differential expression","","","","29950144","details","","","","",""
"H19","lung cancer","qPCR, Luciferase reporter assay, Western blot","up-regulated","","","","30747209","details","","","","",""
"H19","lung cancer","RT-PCR , Western blot etc.","up-regulated","","","","31190899","details","","","","",""
"H19","lung cancer","qRT-PCR , Luciferase reporter assay , Western blot etc.","up-regulated","","","","31187349","details","","","","",""
"H19","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, other","up-regulated","","","","30280776","details","","","","",""
"H19","lung cancer","PCR, other","NA","","","","30219045","details","","","","",""
"H19","non small cell lung cancer","qPCR, Western blo, Luciferase reporter assay, other","up-regulated","","","","30214583","details","","","","",""
"H19","non small cell lung cancer","qPCR, other","NA","","","","31424642","details","","","","",""
"H19","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, RIP, etc.","up-regulated","","","","30542738","details","","","","",""
"H19","lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","31503013","details","","","","",""
"H19","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, RNA interference","up-regulated","","","","31317666","details","","","","",""
"H19","non small cell lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","31219199","details","","","","",""
"H19","small cell lung cancer","qPCR, Northern blot etc.","up-regulated","","","","8674037","details","","","","",""
"H19","lung adenocarcinoma","qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","27911863","details","","","","",""
"H19","lung cancer","qPCR etc.","up-regulated","","","","29470951","details","","","","",""
"H19","lung cancer","qPCR etc.","up-regulated","","","","29731641","details","","","","",""
"H19","lung cancer","qPCR etc.","down-regulated","","","","24063685","details","","","","",""
"H19","lung cancer","qPCR etc.","up-regulated","","","","16707459","details","","","","",""
"H19","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29693721","details","","","","",""
"H19","non small cell lung cancer","qPCR, RNAi, ChIP, Luciferase reporter assay, Flow cytometry assay etc.","up-regulated","","","","26722426","details","","","","",""
"H19","non small cell lung cancer","qPCR etc.","up-regulated","","","","28121347","details","","","","",""
"H19","non small cell lung cancer","qPCR, RNAi, Western blot, Cell migration and invasion assay etc.","differential expression","","","","27607135","details","","","","",""
"H19","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","up-regulated","","","","25482516","details","","","","",""
"H19","non small cell lung cancer","qPCR, RNAi, ChIP, Luciferase reporter assay etc.","up-regulated","","","","26482621","details","","","","",""
"H19","lung cancer","qPCR, Western blot etc.","up-regulated","","","","29219208","details","","","","",""
"H19","non small cell lung cancer","qPCR etc.","up-regulated","","","","28799568","details","","","","",""
"H19","lung cancer","qPCR, etc.","up-regulated","","","","29950144","details","","","","",""
"HAGLR","lung adenocarcinoma","Microarray, qPCR , in vitro knockdown , Western blot , RIP etc.","down-regulated","","","","31194977","details","","","","",""
"HAGLR","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","28443464","details","","","","",""
"HAGLROS","lung cancer","qPCR, Luciferase reporter assay, in vitro knockdown","up-regulated","","","","31378893","details","","","","",""
"HAND2-AS1","non small cell lung cancer","qPCR, Western blot, RIP, etc.","down-regulated","","","","30509963","details","","","","",""
"HANR","non small cell lung cancer","qRT-PCR","up-regulated","","","","32016972","details","","","","",""
"HAS2-AS1","non small cell lung cancer","qPCR, Western blot, RIP etc","up-regulated","","","","32269726","details","","","","",""
"HCP5","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","32104093","details","","","","",""
"HCP5","lung adenocarcinoma","qRT-PCR, in vitro knockdown, Western blot analysis, Chromatin immunoprecipitation etc.","up-regulated","","","","31131047","details","","","","",""
"HCP5","lung adenocarcinoma","qPCR","down-regulated","","","","28793054","details","","","","",""
"HIF1A-AS1","non small cell lung cancer","qPCR etc.","up-regulated","","","","26339353","details","","","","",""
"HIST1H3F","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"HKLINCR1","lung cancer","qRT-PCR , RNA-seq , in vitro knockdown etc.","up-regulated","","","","31089191","details","","","","",""
"HLA-F-AS1","lung adenocarcinoma","Microarray, qPCR","down-regulated","","","","30151992","details","","","","",""
"HMLINCRNA717","non small cell lung cancer","qPCR etc.","down-regulated","","","","25674259","details","","","","",""
"HMMR-AS1","lung adenocarcinoma","qRT-PCR , Luciferase reporter assay , Western blot , in vitro knockdown etc.","up-regulated","","","","31128573","details","","","","",""
"HNF1A-AS","non small cell lung cancer","qPCR etc.","up-regulated","","","","27981551","details","","","","",""
"HNF1A-AS1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31243821","details","","","","",""
"HNF1A-AS1","lung adenocarcinoma","qPCR, RNAi, Western blot, RIP etc.","up-regulated","","","","25863539","details","","","","",""
"HNF1A-AS1","non small cell lung cancer","qRT-PCR, Luciferase reporter assay","up-regulated","","","","29289833","details","","","","",""
"HOST2","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","31799663","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","29805510","details","","","","",""
"HOTAIR","lung cancer","qPCR, Luciferase reporter assay, RIP etc.","differential expressed","","","","32248643","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30720199","details","","","","",""
"HOTAIR","small cell lung cancer","qRT-PCR, Western blotting analysis, Luciferase reporter assays","up-regulated","","","","31934137","details","","","","",""
"HOTAIR","non small cell lung cancer","RT-PCR , Northern blot etc.","up-regulated","","","","31173294","details","","","","",""
"HOTAIR","lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","30047193","details","","","","",""
"HOTAIR","lung cancer","qPCR, Western blot, RIP, other","up-regulated","","","","30223276","details","","","","",""
"HOTAIR","lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","down-regulated","","","","31475459","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR","up-regulated","","","","28784052","details","","","","",""
"HOTAIR","small cell lung cancer","qPCR, RNAi, Western blot, RIP, Flow cytometry assay etc.","up-regulated","","","","26707824","details","","","","",""
"HOTAIR","small cell lung cancer","qPCR, RNAi etc.","up-regulated","","","","24591352","details","","","","",""
"HOTAIR","lung cancer","qPCR, Western blot, Flow cytometry assay etc.","up-regulated","","","","27186394","details","","","","",""
"HOTAIR","lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, RNAi","up-regulated","","","","29467862","details","","","","",""
"HOTAIR","lung cancer","qPCR, RNAi etc.","up-regulated","","","","25010625","details","","","","",""
"HOTAIR","lung adenocarcinoma","qPCR, RNAi, Western blot, Luciferase reporter assay, MTT assay etc.","up-regulated","","","","27460077","details","","","","",""
"HOTAIR","lung cancer","RT-qPCR, Western blot, in vitro knockdown","up-regulated","","","","29080835","details","","","","",""
"HOTAIR","lung adenocarcinoma","qPCR, RNAi etc.","up-regulated","","","","26658322","details","","","","",""
"HOTAIR","lung adenocarcinoma","qPCR, RNAi, Western blot etc.","up-regulated","","","","24155936","details","","","","",""
"HOTAIR","lung cancer","qPCR etc.","up-regulated","","","","23668363","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","29187267","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, RNAi, Western blot, Flow cytometry assay etc.","up-regulated","","","","26962687","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29470986","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR etc.","up-regulated","","","","28121347","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, Cell transfection, Western blot etc.","up-regulated","","","","28066612","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, RNAi, Western blot, Luciferase reporter assay etc.","up-regulated","","","","26088446","details","","","","",""
"HOTAIR","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","down-regulated","","","","25482516","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, Western blot, ChIP, Cell proliferation assay etc.","up-regulated","","","","27695348","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR etc.","up-regulated","","","","23743197","details","","","","",""
"HOTAIR","non small cell lung cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","24103700","details","","","","",""
