"Lnc/ CircRNA name","Cancer name","Methods","Expression pattern","Mechanism","Function","Clinical","Pubmed ID","Details","Box Plot","Stage Plot","Survival","Similar","Network"
"ARHGAP22-IT1","lung adenocarcinoma","Microarray, qPCR","up-regulated","","","","30151992","details","","","","",""
"ASAP1-IT1","non small cell lung cancer","Western blot","up-regulated","","","","29364481","details","","","","",""
"ASB16-AS1?","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32141556","details","","","","",""
"ASO3690","lung adenocarcinoma","Microarray, qPCR","down-regulated","","","","25061321","details","","","","",""
"ASXL3","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"AWPPH","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30953582","details","","","","",""
"AWPPH","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30942396","details","","","","",""
"BANCR","non small cell lung cancer","PCR","down-regulated","","","","30980423","details","","","","",""
"BANCR","non small cell lung cancer","RT-PCR , Western blot etc.","up-regulated","","","","31114383","details","","","","",""
"BANCR","lung cancer","qPCR, Western blot etc.","down-regulated","","","","25661343","details","","","","",""
"BANCR","non small cell lung cancer","qPCR, RNAi, Western blot etc.","down-regulated","","","","24655544","details","","","","",""
"BC087858","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","up-regulated","","","","25482516","details","","","","",""
"BC087858","non small cell lung cancer","qPCR, RNAi, Western blot, Cell proliferation assay, Cell apoptosis assay etc.","up-regulated","","","","27409677","details","","","","",""
"BC200","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","30779077","details","","","","",""
"BC200","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","up-regulated","","","","25482516","details","","","","",""
"BC200","lung cancer","qPCR etc.","up-regulated","","","","28651607","details","","","","",""
"BC200","lung cancer","Northern hybridization, ISH etc.","up-regulated","","","","9422992","details","","","","",""
"BCAR4","non small cell lung cancer","qPCR etc.","up-regulated","","","","28077810","details","","","","",""
"BCAR4","non small cell lung cancer","qPCR, Western blot","up-regulated","","","","28537678","details","","","","",""
"BCAR4","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown etc.","up-regulated","","","","29615150","details","","","","",""
"BCYRN1","non small cell lung cancer","qPCR, Western blot, in vitro knockdown, etc.","up-regulated","","","","30486938","details","","","","",""
"BCYRN1","non small cell lung cancer","qPCR, RNAi, Western blot, Cell migration and invasion assay etc.","up-regulated","","","","25866480","details","","","","",""
"BE244504","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","down-regulated","","","","25482516","details","","","","",""
"BG188549","non small cell lung cancer","Microarray, qPCR, Cell proliferation assay etc.","down-regulated","","","","25482516","details","","","","",""
"BLACAT1","non small cell lung cancer","RT-qPCR, RNAi, RIP, Western blot, other","up-regulated","","","","30387831","details","","","","",""
"BLACAT1","small cell lung cancer","qPCR, other","up-regulated","","","","30203450","details","","","","",""
"BLACAT1","non small cell lung cancer","qPCR, Western blot, in vitro knockdown","up-regulated","","","","31359792","details","","","","",""
"BLACAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc.","up-regulated","","","","28885863","details","","","","",""
"BRE-AS1","non small cell lung cancer","qPCR, Western blot, RIP, RNAi, other","down-regulated","","","","30227111","details","","","","",""
"BX357664","lung cancer","qPCR","up-regulated","","","","30854036","details","","","","",""
"BX357664","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","30720174","details","","","","",""
"C14orf132","non small cell lung cancer","Microarray, qPCR etc.","down-regulated","","","","25590602","details","","","","",""
"CACNA1G-AS1","non small cell lung cancer","qRT-PCR, Western blot, in vitro knockdown","up-regulated","","","","29509247","details","","","","",""
"CAR10","lung adenocarcinoma","qPCR, Western blot, Luciferase reporter assay, in vitro knockdown, RIP, etc.","up-regulated","","","","30617305","details","","","","",""
"CAR10","non small cell lung cancer","qPCR etc.","up-regulated","","","","27322209","details","","","","",""
"CASC11","small cell lung cancer","qPCR, Western blot","up-regulated","","","","30965130","details","","","","",""
"CASC11","lung cancer","qPCR, Western blot, Luciferase reporter assay","up-regulated","","","","31378894","details","","","","",""
"CASC15","non small cell lung cancer","qRT-PCR , Luciferase reporter assay , in vitro knockdown etc.","up-regulated","","","","31599419","details","","","","",""
"CASC15","non small cell lung cancer","Microarray, qPCR, Western blot, in vitro knockdown","up-regulated","","","","31396336","details","","","","",""
"CASC19","non small cell lung cancer","qPCR, Luciferase reporter assay","up-regulated","","","","31389608","details","","","","",""
"CASC2","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","differential expressed","","","","32271431","details","","","","",""
"CASC2","lung adenocarcinoma","qPCR, RIP, Western blot, Luciferase reporter assay, other","down-regulated","","","","30450692","details","","","","",""
"CASC2","lung adenocarcinoma","qPCR, Western blot etc.","down-regulated","","","","29131257","details","","","","",""
"CASC2","non small cell lung cancer","qPCR, Cell transfection, Flow cytometry assay etc.","down-regulated","","","","26790438","details","","","","",""
"CASC2c","non small cell lung cancer","qPCR, Western blot","down-regulated","","","","31300525","details","","","","",""
"CASC9","lung cancer","Western blot, RT-PCR, RIP","up-regulated","","","","31802910","details","","","","",""
"CASC9","non small cell lung cancer","Microarray, qPCR, RNAi, Cell proliferation assay etc.","up-regulated","","","","28040594","details","","","","",""
"CASC9","lung adenocarcinoma","qPCR, RNAi, Cell proliferation assay etc.","up-regulated","","","","27797003","details","","","","",""
"CASC9","lung squamous cell carcinoma","qPCR, RNAi, Cell proliferation assay etc.","up-regulated","","","","27797003","details","","","","",""
"CASC9.5","lung adenocarcinoma","qPCR, Western blot, in vitro knockdown, RNAi, RIP","up-regulated","","","","29311567","details","","","","",""
"CCAT1","non small cell lung cancer","qRT-PCR, Western blot","up-regulated","","","","32084702","details","","","","",""
"CCAT1","lung adenocarcinoma","qPCR, Western blot","up-regulated","","","","30008869","details","","","","",""
"CCAT1","non small cell lung cancer","qPCR, Western blot etc","up-regulated","","","","32323859","details","","","","",""
"CCAT1","non small cell lung cancer","qPCR, Western blot, Luciferase reporter assay etc","up-regulated","","","","32227563","details","","","","",""
"CCAT1","non small cell lung cancer","qRT-PCR","up-regulated","","","","31933793","details","","","","",""
"CCAT1","non small cell lung cancer","qPCR, Luciferase reporter assay, Western blot, RIP","up-regulated","","","","29020498","details","","","","",""
"CCAT1","lung adenocarcinoma","qPCR, RNAi, Western blot, RIP, Dual luciferase reporter assay, Flow cytometry assay etc.","up-regulated","","","","27566568","details","","","","",""
"CCAT1","non small cell lung cancer","qPCR, RNAi, Western blot etc.","up-regulated","","","","25129441","details","","","","",""
"CCAT1","lung adenocarcinoma","qRT-PCR, Western blot analysis","up-regulated","","","","30008869","details","","","","",""
"CCAT2","lung cancer","qPCR, Western blot, other","up-regulated","","","","30214594","details","","","","",""
"CCAT2","lung cancer","qPCR, Western blot, Luciferase reporter assay, RIP, etc.","up-regulated","","","","30548656","details","","","","",""
"CCAT2","small cell lung cancer","qPCR, Cell proliferation assay, Cell migration and invasion assay etc.","up-regulated","","","","27470400","details","","","","",""
"CCAT2","non small cell lung cancer","qPCR, RNAi, Cell invasion assay etc.","up-regulated","","","","28088736","details","","","","",""
"CCAT2","non small cell lung cancer","qPCR, RNAi etc.","up-regulated","","","","24504682","details","","","","",""
"CCDC181","lung adenocarcinoma","RNA-seq","differential expression","","","","31558162","details","","","","",""
"CCHE1","non small cell lung cancer","qPCR, Western blot etc.","up-regulated","","","","29630113","details","","","","",""
"CEBPA-AS1","lung adenocarcinoma","qPCR","down-regulated","","","","30125988","details","","","","",""
"CES1P1-001","non small cell lung cancer","Microarray, qPCR, RNAi, Western blot etc.","down-regulated","","","","23741487","details","","","","",""
"CHIAP2","lung adenocarcinoma","RNA-seq, qPCR etc.","down-regulated","","","","27826625","details","","","","",""
